Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_geriatric,FDR_q_val_swiss_cent_geriatric
GOBP_ADAPTIVE_THERMOGENESIS,-1.0560554146690593,0.7766335677845075,-1.614793154127246,0.28369084936521266
GOBP_ALCOHOL_METABOLIC_PROCESS,-1.2228965485468284,0.6403296723269889,-1.5258834322177623,0.2621252180426122
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,-0.5424365642334193,0.992118527082819,-1.258955984459094,0.4332524647588479
GOBP_AMIDE_METABOLIC_PROCESS,-1.0825518272060597,0.7670659501847059,-1.7135699914221885,0.25134789107923283
GOBP_APOPTOTIC_SIGNALING_PATHWAY,-0.8787652337798129,0.9252557303170423,-1.4861939325207545,0.2864335387161173
GOBP_ATP_METABOLIC_PROCESS,-1.3070084796090833,0.5823330383999756,-1.6430176220166228,0.2600421199642143
GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,-0.9526140319194133,0.8655298701798011,-1.0661572680601996,0.5980635670184676
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,-1.3569459015522904,0.5396833799054912,-1.4070864954894124,0.3427619932772671
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,-1.2393520902569766,0.6323586206700144,-1.5788803648465268,0.24728698618030642
GOBP_CARBOHYDRATE_METABOLIC_PROCESS,-1.391713961770668,0.5446692176607076,-1.0688798818625591,0.5959750429008148
GOBP_CARBOHYDRATE_TRANSPORT,-1.222227342942217,0.6401428288476942,-1.1835782447369125,0.4837416423580675
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,-0.8071444260314276,0.9557785311535479,-1.0435385316907482,0.6115478308539881
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,-0.8409391172962161,0.9375451336517914,-0.6906363608385174,0.945497783009639
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,-1.1112626689706975,0.7292330748242637,-1.5897467220017334,0.25172953075593985
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,-0.8965274838054512,0.9189062491306722,-0.9542793530310462,0.6910715635516502
GOBP_CELLULAR_RESPONSE_TO_VIRUS,-0.8457363337138186,0.9331236172540498,-1.202861378021085,0.47569940438847025
GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS,-0.8010459347988794,0.9616525175152246,-1.566699713334079,0.2438261199964984
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,-1.09902565427505,0.7407154045352582,-0.9752885888801853,0.6761079706046216
GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,-1.039411506383803,0.7853243631175255,-1.011493948907832,0.6425007122719254
GOBP_DENDRITE_DEVELOPMENT,-1.1579447776983747,0.6872271860996018,-1.4461095675951847,0.324746665573972
